#{"t_start": 1701214375.3774838, "env_id": "None"}
r,l,t
-5023.44,88,173.205776
-4596.89,100,173.413436
-1658.34,35,173.480388
-4893.69,100,173.684648
-287.29,20,173.723024
-5496.51,100,173.926305
-4787.28,100,174.140591
391.92,4,174.150104
-4395.47,100,174.348165
-6894.87,100,174.555226
-621.82,29,174.612702
-5900.12,100,174.809389
-5505.46,100,175.056612
-3897.12,100,175.312665
-3064.28,56,175.432232
-2859.82,56,175.551294
-5894.49,100,175.778423
-5503.26,100,176.019002
-5704.34,100,176.224984
185.92,5,176.240324
-4381.8,100,176.475638
-5392.54,100,176.716159
-4892.04,100,176.924973
-3681.55,62,177.068801
-37.31,11,177.090897
-1636.19,31,177.168878
-5199.42,100,177.406908
-356.54,15,177.443002
-2842.58,52,177.554511
-442.21,11,177.579015
-3615.79,69,177.718788
-786.05,20,177.775538
-4396.64,100,178.020314
-941.95,32,178.109768
-5100.92,100,178.331484
-1334.72,31,178.389083
-2588.46,60,178.510531
-915.12,27,178.565015
-6404.13,100,178.768053
-5701.58,100,179.020732
-2323.45,50,179.146073
-4588.75,100,179.353596
-5490.81,100,179.559694
-5701.83,100,179.764329
-2667.97,58,179.872006
-7103.37,100,180.064561
-2325.45,50,180.182286
-5994.92,100,180.391914
-6296.18,100,180.585522
-6504.24,100,180.781317
-2897.25,62,180.900279
-4269.13,78,181.055368
-6105.2,100,181.258226
-5281.75,100,181.455726
-5192.19,100,181.675805
-1135.46,31,181.740173
-2272.38,37,181.825741
-5602.47,100,182.022597
-5098.81,100,182.215713
-5099.31,100,182.437929
282.77,7,182.454649
-4998.25,100,182.659607
-4100.2,100,182.876814
-5708.13,100,183.082834
-5797.75,100,183.282328
-805.0,25,183.337167
-5301.57,100,183.530498
-3696.15,100,183.73149
-5596.66,100,183.927428
-4802.01,100,184.127305
-2792.57,61,184.245882
-1382.9,41,184.335097
-2231.87,50,184.442338
-6098.9,100,184.644874
-4511.1,100,184.854671
-4700.72,100,185.056895
-6088.3,100,185.254176
-5098.38,100,185.446819
-5400.02,100,185.648098
-6394.55,100,185.849994
-596.81,24,185.898361
188.91,5,185.909045
-1769.38,39,185.985188
